"DATE","TIME PERIOD","Financial account, Direct Investment, Net (BPS.M.N.I9.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL)"
"2015-01-31","2015Jan","65754.919"
"2015-02-28","2015Feb","72454.638"
"2015-03-31","2015Mar","64960.467"
"2015-04-30","2015Apr","-24724.898"
"2015-05-31","2015May","39082.703"
"2015-06-30","2015Jun","-21549.004"
"2015-07-31","2015Jul","3321.235"
"2015-08-31","2015Aug","817.604"
"2015-09-30","2015Sep","-2884.678"
"2015-10-31","2015Oct","-10731.361"
"2015-11-30","2015Nov","-23142.738"
"2015-12-31","2015Dec","33365.079"
"2016-01-31","2016Jan","-53202.333"
"2016-02-29","2016Feb","65447.159"
"2016-03-31","2016Mar","43213.047"
"2016-04-30","2016Apr","-42046.894"
"2016-05-31","2016May","26049.728"
"2016-06-30","2016Jun","1265.037"
"2016-07-31","2016Jul","63043.447"
"2016-08-31","2016Aug","-4647.281"
"2016-09-30","2016Sep","1871.216"
"2016-10-31","2016Oct","25439.527"
"2016-11-30","2016Nov","10610.246"
"2016-12-31","2016Dec","-24719.349"
"2017-01-31","2017Jan","21039.369"
"2017-02-28","2017Feb","22133.633"
"2017-03-31","2017Mar","-20815.382"
"2017-04-30","2017Apr","21668.747"
"2017-05-31","2017May","57455.697"
"2017-06-30","2017Jun","-74026.477"
"2017-07-31","2017Jul","1085.446"
"2017-08-31","2017Aug","-27279.602"
"2017-09-30","2017Sep","32427.883"
"2017-10-31","2017Oct","20533.115"
"2017-11-30","2017Nov","-21132.440"
"2017-12-31","2017Dec","-1632.183"
"2018-01-31","2018Jan","56751.500"
"2018-02-28","2018Feb","33237.680"
"2018-03-31","2018Mar","70149.142"
"2018-04-30","2018Apr","28422.564"
"2018-05-31","2018May","-7927.150"
"2018-06-30","2018Jun","37413.936"
"2018-07-31","2018Jul","3801.111"
"2018-08-31","2018Aug","-47598.973"
"2018-09-30","2018Sep","27147.180"
"2018-10-31","2018Oct","16081.690"
"2018-11-30","2018Nov","-68428.421"
"2018-12-31","2018Dec","-60429.123"
"2019-01-31","2019Jan","67653.415"
"2019-02-28","2019Feb","30561.253"
"2019-03-31","2019Mar","54262.623"
"2019-04-30","2019Apr","-40660.991"
"2019-05-31","2019May","-45622.138"
"2019-06-30","2019Jun","-13039.421"
"2019-07-31","2019Jul","34033.235"
"2019-08-31","2019Aug","28459.233"
"2019-09-30","2019Sep","39843.169"
"2019-10-31","2019Oct","56864.372"
"2019-11-30","2019Nov","-22015.288"
"2019-12-31","2019Dec","-84413.556"
"2020-01-31","2020Jan","-10991.838"
"2020-02-29","2020Feb","-13399.558"
"2020-03-31","2020Mar","32367.334"
"2020-04-30","2020Apr","-1288.145"
"2020-05-31","2020May","-96546.530"
"2020-06-30","2020Jun","8055.701"
"2020-07-31","2020Jul","49472.026"
"2020-08-31","2020Aug","1160.851"
"2020-09-30","2020Sep","-25319.306"
"2020-10-31","2020Oct","20239.016"
"2020-11-30","2020Nov","-60160.131"
"2020-12-31","2020Dec","-77262.907"
"2021-01-31","2021Jan","54596.229"
"2021-02-28","2021Feb","33226.780"
"2021-03-31","2021Mar","32620.727"
"2021-04-30","2021Apr","10360.198"
"2021-05-31","2021May","12020.479"
"2021-06-30","2021Jun","-11462.502"
"2021-07-31","2021Jul","55575.112"
"2021-08-31","2021Aug","79043.470"
"2021-09-30","2021Sep","22285.300"
"2021-10-31","2021Oct","41255.130"
"2021-11-30","2021Nov","20207.118"
"2021-12-31","2021Dec","44083.433"
"2022-01-31","2022Jan","1108.894"
"2022-02-28","2022Feb","44798.975"
"2022-03-31","2022Mar","23019.481"
"2022-04-30","2022Apr","26679.124"
"2022-05-31","2022May","116771.227"
"2022-06-30","2022Jun","6368.471"
"2022-07-31","2022Jul","-13492.078"
"2022-08-31","2022Aug","-24700.431"
"2022-09-30","2022Sep","83389.619"
"2022-10-31","2022Oct","10510.565"
"2022-11-30","2022Nov","-6328.837"
"2022-12-31","2022Dec","26421.520"
"2023-01-31","2023Jan","-8544.008"
"2023-02-28","2023Feb","29569.915"
"2023-03-31","2023Mar","13370.647"
"2023-04-30","2023Apr","-32054.887"
"2023-05-31","2023May","-58189.427"
"2023-06-30","2023Jun","82944.802"
"2023-07-31","2023Jul","-23380.914"
"2023-08-31","2023Aug","7829.965"
"2023-09-30","2023Sep","24358.923"
"2023-10-31","2023Oct","1543.233"
"2023-11-30","2023Nov","2342.562"
"2023-12-31","2023Dec","-13801.418"
"2024-01-31","2024Jan","3026.484"
"2024-02-29","2024Feb","31811.026"
"2024-03-31","2024Mar","10098.125"
"2024-04-30","2024Apr","35147.841"
