"DATE","TIME PERIOD","Financial account, Portfolio Investment, Net (BPS.M.N.I9.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL)"
"2015-01-31","2015Jan","-60075.108"
"2015-02-28","2015Feb","-58156.219"
"2015-03-31","2015Mar","-77028.349"
"2015-04-30","2015Apr","44950.446"
"2015-05-31","2015May","36915.706"
"2015-06-30","2015Jun","20407.230"
"2015-07-31","2015Jul","96815.418"
"2015-08-31","2015Aug","30777.760"
"2015-09-30","2015Sep","-1535.191"
"2015-10-31","2015Oct","9878.851"
"2015-11-30","2015Nov","45622.066"
"2015-12-31","2015Dec","35331.989"
"2016-01-31","2016Jan","102415.507"
"2016-02-29","2016Feb","34269.025"
"2016-03-31","2016Mar","-8406.615"
"2016-04-30","2016Apr","115763.469"
"2016-05-31","2016May","-4238.749"
"2016-06-30","2016Jun","-2367.135"
"2016-07-31","2016Jul","57164.639"
"2016-08-31","2016Aug","64287.555"
"2016-09-30","2016Sep","30009.005"
"2016-10-31","2016Oct","43194.044"
"2016-11-30","2016Nov","-25415.479"
"2016-12-31","2016Dec","72631.714"
"2017-01-31","2017Jan","8829.115"
"2017-02-28","2017Feb","101856.438"
"2017-03-31","2017Mar","-1602.201"
"2017-04-30","2017Apr","27966.486"
"2017-05-31","2017May","-3061.886"
"2017-06-30","2017Jun","42859.117"
"2017-07-31","2017Jul","36155.407"
"2017-08-31","2017Aug","69644.124"
"2017-09-30","2017Sep","10505.633"
"2017-10-31","2017Oct","48317.515"
"2017-11-30","2017Nov","-4712.232"
"2017-12-31","2017Dec","19605.701"
"2018-01-31","2018Jan","3179.042"
"2018-02-28","2018Feb","78135.813"
"2018-03-31","2018Mar","-42018.792"
"2018-04-30","2018Apr","55388.457"
"2018-05-31","2018May","62822.711"
"2018-06-30","2018Jun","-73543.859"
"2018-07-31","2018Jul","28125.258"
"2018-08-31","2018Aug","94374.960"
"2018-09-30","2018Sep","-40998.530"
"2018-10-31","2018Oct","-8868.512"
"2018-11-30","2018Nov","9754.787"
"2018-12-31","2018Dec","65329.413"
"2019-01-31","2019Jan","-1163.237"
"2019-02-28","2019Feb","5434.795"
"2019-03-31","2019Mar","-93403.363"
"2019-04-30","2019Apr","-47974.824"
"2019-05-31","2019May","-41107.224"
"2019-06-30","2019Jun","25497.841"
"2019-07-31","2019Jul","-48207.464"
"2019-08-31","2019Aug","33393.564"
"2019-09-30","2019Sep","-46864.179"
"2019-10-31","2019Oct","38266.826"
"2019-11-30","2019Nov","38217.048"
"2019-12-31","2019Dec","52552.350"
"2020-01-31","2020Jan","-62633.733"
"2020-02-29","2020Feb","-40918.323"
"2020-03-31","2020Mar","-109811.351"
"2020-04-30","2020Apr","150816.759"
"2020-05-31","2020May","27102.755"
"2020-06-30","2020Jun","-39225.072"
"2020-07-31","2020Jul","-25984.577"
"2020-08-31","2020Aug","38319.401"
"2020-09-30","2020Sep","5589.018"
"2020-10-31","2020Oct","109588.064"
"2020-11-30","2020Nov","192811.577"
"2020-12-31","2020Dec","286951.856"
"2021-01-31","2021Jan","37860.967"
"2021-02-28","2021Feb","51852.225"
"2021-03-31","2021Mar","-23636.684"
"2021-04-30","2021Apr","28478.727"
"2021-05-31","2021May","83935.295"
"2021-06-30","2021Jun","51000.734"
"2021-07-31","2021Jul","-9846.975"
"2021-08-31","2021Aug","7406.711"
"2021-09-30","2021Sep","5225.202"
"2021-10-31","2021Oct","-1988.408"
"2021-11-30","2021Nov","45055.803"
"2021-12-31","2021Dec","14327.328"
"2022-01-31","2022Jan","56092.297"
"2022-02-28","2022Feb","-9131.104"
"2022-03-31","2022Mar","-141478.358"
"2022-04-30","2022Apr","37162.445"
"2022-05-31","2022May","36228.651"
"2022-06-30","2022Jun","-98477.775"
"2022-07-31","2022Jul","45885.949"
"2022-08-31","2022Aug","-60889.308"
"2022-09-30","2022Sep","-167500.418"
"2022-10-31","2022Oct","-17499.020"
"2022-11-30","2022Nov","-27431.157"
"2022-12-31","2022Dec","50065.955"
"2023-01-31","2023Jan","31647.742"
"2023-02-28","2023Feb","-26076.773"
"2023-03-31","2023Mar","-102889.259"
"2023-04-30","2023Apr","73747.370"
"2023-05-31","2023May","47537.552"
"2023-06-30","2023Jun","-39125.353"
"2023-07-31","2023Jul","49529.171"
"2023-08-31","2023Aug","-7778.115"
"2023-09-30","2023Sep","-59905.036"
"2023-10-31","2023Oct","-7998.665"
"2023-11-30","2023Nov","45020.709"
"2023-12-31","2023Dec","-88232.651"
"2024-01-31","2024Jan","-68312.311"
"2024-02-29","2024Feb","-11189.846"
"2024-03-31","2024Mar","11009.316"
"2024-04-30","2024Apr","-22190.913"
