"DATE","TIME PERIOD","CPI deflated EER-41/Euro (EXR.M.E03.EUR.ERC0.A)"
"2015-01-31","2015Jan","91.1087"
"2015-02-28","2015Feb","89.7611"
"2015-03-31","2015Mar","86.9239"
"2015-04-30","2015Apr","85.7329"
"2015-05-31","2015May","87.4880"
"2015-06-30","2015Jun","88.4373"
"2015-07-31","2015Jul","87.4066"
"2015-08-31","2015Aug","89.6360"
"2015-09-30","2015Sep","90.9228"
"2015-10-31","2015Oct","90.4196"
"2015-11-30","2015Nov","87.7336"
"2015-12-31","2015Dec","89.1915"
"2016-01-31","2016Jan","90.3654"
"2016-02-29","2016Feb","91.3686"
"2016-03-31","2016Mar","90.4232"
"2016-04-30","2016Apr","90.9040"
"2016-05-31","2016May","91.2971"
"2016-06-30","2016Jun","90.8498"
"2016-07-31","2016Jul","90.5586"
"2016-08-31","2016Aug","90.9565"
"2016-09-30","2016Sep","91.1355"
"2016-10-31","2016Oct","90.9390"
"2016-11-30","2016Nov","90.3923"
"2016-12-31","2016Dec","89.4737"
"2017-01-31","2017Jan","89.7775"
"2017-02-28","2017Feb","89.1842"
"2017-03-31","2017Mar","89.3288"
"2017-04-30","2017Apr","88.9877"
"2017-05-31","2017May","90.6769"
"2017-06-30","2017Jun","91.4393"
"2017-07-31","2017Jul","92.9266"
"2017-08-31","2017Aug","94.4240"
"2017-09-30","2017Sep","94.4546"
"2017-10-31","2017Oct","94.0414"
"2017-11-30","2017Nov","94.1622"
"2017-12-31","2017Dec","94.3144"
"2018-01-31","2018Jan","95.0922"
"2018-02-28","2018Feb","95.2768"
"2018-03-31","2018Mar","95.6410"
"2018-04-30","2018Apr","95.5959"
"2018-05-31","2018May","94.5481"
"2018-06-30","2018Jun","94.3639"
"2018-07-31","2018Jul","95.3574"
"2018-08-31","2018Aug","95.4466"
"2018-09-30","2018Sep","96.4394"
"2018-10-31","2018Oct","95.3504"
"2018-11-30","2018Nov","94.5353"
"2018-12-31","2018Dec","94.3832"
"2019-01-31","2019Jan","93.8307"
"2019-02-28","2019Feb","93.1121"
"2019-03-31","2019Mar","92.6748"
"2019-04-30","2019Apr","92.4464"
"2019-05-31","2019May","92.8630"
"2019-06-30","2019Jun","93.2523"
"2019-07-31","2019Jul","92.4204"
"2019-08-31","2019Aug","92.9844"
"2019-09-30","2019Sep","92.1702"
"2019-10-31","2019Oct","91.9590"
"2019-11-30","2019Nov","91.3194"
"2019-12-31","2019Dec","91.2475"
"2020-01-31","2020Jan","90.5091"
"2020-02-29","2020Feb","89.8490"
"2020-03-31","2020Mar","93.1015"
"2020-04-30","2020Apr","93.0356"
"2020-05-31","2020May","92.9216"
"2020-06-30","2020Jun","94.1063"
"2020-07-31","2020Jul","94.8450"
"2020-08-31","2020Aug","95.8887"
"2020-09-30","2020Sep","95.7957"
"2020-10-31","2020Oct","95.7057"
"2020-11-30","2020Nov","95.1107"
"2020-12-31","2020Dec","95.9875"
"2021-01-31","2021Jan","96.0172"
"2021-02-28","2021Feb","95.1370"
"2021-03-31","2021Mar","94.9040"
"2021-04-30","2021Apr","95.2559"
"2021-05-31","2021May","95.3480"
"2021-06-30","2021Jun","94.6933"
"2021-07-31","2021Jul","94.2605"
"2021-08-31","2021Aug","93.8750"
"2021-09-30","2021Sep","93.8835"
"2021-10-31","2021Oct","93.1520"
"2021-11-30","2021Nov","92.5719"
"2021-12-31","2021Dec","92.3908"
"2022-01-31","2022Jan","92.2504"
"2022-02-28","2022Feb","92.5940"
"2022-03-31","2022Mar","92.5986"
"2022-04-30","2022Apr","90.2935"
"2022-05-31","2022May","90.1618"
"2022-06-30","2022Jun","90.2634"
"2022-07-31","2022Jul","88.8582"
"2022-08-31","2022Aug","88.6366"
"2022-09-30","2022Sep","89.3402"
"2022-10-31","2022Oct","90.8078"
"2022-11-30","2022Nov","91.9961"
"2022-12-31","2022Dec","92.8553"
"2023-01-31","2023Jan","93.0989"
"2023-02-28","2023Feb","93.4226"
"2023-03-31","2023Mar","93.6568"
"2023-04-30","2023Apr","94.8697"
"2023-05-31","2023May","94.2125"
"2023-06-30","2023Jun","94.7234"
"2023-07-31","2023Jul","96.1171"
"2023-08-31","2023Aug","96.0920"
"2023-09-30","2023Sep","95.4953"
"2023-10-31","2023Oct","94.9988"
"2023-11-30","2023Nov","95.3257"
"2023-12-31","2023Dec","94.8533"
"2024-01-31","2024Jan","95.2365"
"2024-02-29","2024Feb","94.9071"
"2024-03-31","2024Mar","95.5470"
"2024-04-30","2024Apr","95.1918"
"2024-05-31","2024May","95.3410"
